cloudVpnNetworkP	vpnnetworkp-{name}
cloudVrfRouteLeakPol	vrfRtLeakPol-{name}
cloudZone	zone-{name}
cloudsecCapabilityRemote	cloudseccapremote
cloudsecControl	cloudseccontrol
cloudsecIfClearLTask	cloudsecIfClearLTask
cloudsecIfPol	cloudsecifp-{name}
cloudsecPreSharedKey	psk-{index}
cloudsecRelnHolder	cid-{id}
cloudsecSaKeyPRemote	sakeypremote
cloudsecSaKeyStatusRemote	sakeystatusremote
cloudsecSiteRxKeySt	siterxkeystatus
cloudsecSiteTxKeySt	sitetxkeystatus
cloudsecSpRxKeySt	spinerxkeystatus-{siteId}
cloudsecSpTxKeySt	spinetxkeystatus-{siteId}
cloudsecTepRxCounter	tepRxCounter
cloudsecTepTxCounter	tepTxCounter
cloudtemplateBackbonePeering	backbonepeering-{name}
cloudtemplateBfd	bfd
cloudtemplateBgpEvpn	bgpevpn-[{peeraddr}]
cloudtemplateBgpIpv4	bgpipv4-[{peeraddr}]
cloudtemplateExtNetwork	extnetwork-{name}
cloudtemplateExtSubnetPool	extsubnetpool-[{subnetpool}]
cloudtemplateHostRouter	hostrouter-{name}
cloudtemplateHubNetwork	hubnetwork-{name}
cloudtemplateHubNetworkCidr	hubcidr-[{cidr}]
cloudtemplateHubNetworkLabel	hubnetworklabel-{name}
cloudtemplateHubNetworkName	hubnetworkname-{name}
cloudtemplateHubSubnetPool	hubsubnetpool-[{subnetpool}]
cloudtemplateInfraNetwork	infranetwork-{name}
cloudtemplateIntNetwork	intnetwork-{name}
cloudtemplateInterProviderPeering	interproviderpeering-{name}
cloudtemplateIntraProviderPeering	intraproviderpeering-{name}
cloudtemplateIpSecTunnel	ipsec-[{peeraddr}]
cloudtemplateIpSecTunnelInstance	router-{routerInstanceId}-intf-{interfaceId}
cloudtemplateIpSecTunnelSourceInterface	ipsecsrcif-{sourceInterfaceId}
cloudtemplateIpSecTunnelSubnetPool	ipsecsubnetpool-[{subnetpool}]
cloudtemplateNextHopIp	nexthopip-[{subnet}]
cloudtemplateOspf	ospf-[{area}]
cloudtemplatePrivatePeering	privatepeering-{name}
cloudtemplateProfile	profile-{name}
cloudtemplateRegionDetail	regiondetail
cloudtemplateRegionNameCustomization	regioncustom
cloudtemplateRemoteCidr	remotecidr-[{addr}]
cloudtemplateRemoteCtx	remotectx-[{cloudProviderId}]
cloudtemplateRemoteSite	rsite-{remoteSiteId}
